 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 0.0000000000  -1.4629825847e-19  1.0587911841e-24  4.8883715705e-03  4.8295835403e-03  
 0.5000000000  -1.1331254992e-15  -1.4907862751e-21  4.8883715705e-03  4.8295835498e-03  
 1.0000000000  -3.4534908417e-14  -8.9774904174e-21  4.8883715705e-03  4.8295835593e-03  
 1.5000000000  -2.6230051584e-13  4.3349392941e-21  4.8883715705e-03  4.8295835688e-03  
 2.0000000000  -1.1044672486e-12  -1.3686067259e-20  4.8883715705e-03  4.8295835783e-03  
 2.5000000000  -3.3693044059e-12  8.7413779457e-21  4.8883715705e-03  4.8295835878e-03  
 3.0000000000  -8.3810628442e-12  4.3368087526e-21  4.8883715705e-03  4.8295835973e-03  
 3.5000000000  -1.8110413773e-11  1.7351138923e-20  4.8883715705e-03  4.8295836068e-03  
 4.0000000000  -3.5302114706e-11  -5.2050182620e-20  4.8883715705e-03  4.8295836163e-03  
 4.5000000000  -6.3604284132e-11  -8.2161795218e-22  4.8883715705e-03  4.8295836258e-03  
 5.0000000000  -1.0769642639e-10  1.8295907525e-20  4.8883715705e-03  4.8295836353e-03  
 5.5000000000  -1.7341826687e-10  -6.0723258328e-20  4.8883715705e-03  4.8295836448e-03  
 6.0000000000  -2.6789758901e-10  -9.2243211445e-21  4.8883715705e-03  4.8295836543e-03  
 6.5000000000  -3.9967813107e-10  6.7237483625e-20  4.8883715705e-03  4.8295836638e-03  
 7.0000000000  -5.7884706141e-10  3.4702939853e-20  4.8883715705e-03  4.8295836733e-03  
 7.5000000000  -8.1716268959e-10  -2.8197586448e-20  4.8883715705e-03  4.8295836828e-03  
 8.0000000000  -1.1281810253e-09  4.9890107982e-20  4.8883715705e-03  4.8295836923e-03  
 8.5000000000  -1.5273825025e-09  4.6078589705e-21  4.8883715705e-03  4.8295837018e-03  
 9.0000000000  -2.0322984123e-09  6.7491453409e-20  4.8883715705e-03  4.8295837113e-03  
 9.5000000000  -2.6626369902e-09  -1.2143104011e-19  4.8883715705e-03  4.8295837208e-03  
 10.0000000000  -3.4404084763e-09  1.7425162619e-19  4.8883715705e-03  4.8295837303e-03  
 10.5000000000  -4.3900505267e-09  -8.7024281065e-20  4.8883715705e-03  4.8295837398e-03  
 11.0000000000  -5.5385530183e-09  1.7618004320e-20  4.8883715705e-03  4.8295837493e-03  
 11.5000000000  -6.9155811205e-09  -2.1700984109e-20  4.8883715705e-03  4.8295837588e-03  
 12.0000000000  -8.5536006621e-09  2.1197847313e-19  4.8883715705e-03  4.8295837684e-03  
