 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 0.0000000000  8.2708970738e-19  -2.7878225448e-24  6.0221140552e-03  6.0090022579e-03  
 0.8000000000  -1.0030872975e-12  9.4950759697e-21  6.0221140552e-03  6.0090022868e-03  
 1.6000000000  -3.2020053740e-11  3.9458235787e-20  6.0221140552e-03  6.0090023158e-03  
 2.4000000000  -2.4294496026e-10  -1.1114647913e-20  6.0221140552e-03  6.0090023447e-03  
 3.2000000000  -1.0232682026e-09  2.3829124411e-20  6.0221140552e-03  6.0090023737e-03  
 4.0000000000  -3.1216427011e-09  7.2853478533e-20  6.0221140552e-03  6.0090024026e-03  
 4.8000000000  -7.7652403555e-09  -4.3952547905e-20  6.0221140552e-03  6.0090024316e-03  
 5.6000000000  -1.6778823352e-08  -8.8263458111e-21  6.0221140552e-03  6.0090024607e-03  
 6.4000000000  -3.2703469341e-08  1.2124449459e-19  6.0221140552e-03  6.0090024900e-03  
 7.2000000000  -5.8914871128e-08  1.8275973557e-19  6.0221140552e-03  6.0090025199e-03  
 8.0000000000  -9.9741148927e-08  7.7312681775e-20  6.0221140552e-03  6.0090025509e-03  
 8.8000000000  -1.6058009973e-07  1.1006180473e-19  6.0221140552e-03  6.0090025839e-03  
 9.6000000000  -2.4801581942e-07  3.5524600863e-20  6.0221140552e-03  6.0090026204e-03  
 10.4000000000  -3.6993462528e-07  1.7966115278e-20  6.0221140552e-03  6.0090026630e-03  
 11.2000000000  -5.3564021186e-07  1.4398435189e-19  6.0221140552e-03  6.0090027153e-03  
 12.0000000000  -7.5596797330e-07  -1.9766099160e-19  6.0221140552e-03  6.0090027825e-03  
 12.8000000000  -1.0433984206e-06  6.3423717773e-20  6.0221140552e-03  6.0090028725e-03  
 13.6000000000  -1.4121696315e-06  3.3390673590e-19  6.0221140552e-03  6.0090029957e-03  
 14.4000000000  -1.8783886619e-06  2.2532056554e-19  6.0221140552e-03  6.0090031667e-03  
 15.2000000000  -2.4601418537e-06  -3.6852385728e-20  6.0221140552e-03  6.0090034047e-03  
 16.0000000000  -3.1776039758e-06  -1.1094518686e-21  6.0221140552e-03  6.0090037353e-03  
 16.8000000000  -4.0531461293e-06  -2.4277022021e-20  6.0221140552e-03  6.0090041913e-03  
 17.6000000000  -5.1114423532e-06  5.3304187035e-19  6.0221140552e-03  6.0090048150e-03  
 18.4000000000  -6.3795748687e-06  7.2438234385e-19  6.0221140552e-03  6.0090056597e-03  
 19.2000000000  -7.8871378957e-06  -1.6166130033e-19  6.0221140552e-03  6.0090067921e-03  
 20.0000000000  -9.6663399819e-06  -2.2497277901e-19  6.0221140552e-03  6.0090082946e-03  
 20.8000000000  -1.1752104779e-05  -1.1060973124e-19  6.0221140552e-03  6.0090102687e-03  
 21.6000000000  -1.4182170207e-05  -7.2692300329e-20  6.0221140552e-03  6.0090128375e-03  
 22.4000000000  -1.6997185949e-05  -2.6333910325e-19  6.0221140552e-03  6.0090161495e-03  
 23.2000000000  -2.0240809208e-05  7.0486779350e-20  6.0221140552e-03  6.0090203831e-03  
 24.0000000000  -2.3959798673e-05  5.2583220132e-20  6.0221140552e-03  6.0090257501e-03  
 24.8000000000  -2.8204106645e-05  -1.2521371249e-19  6.0221140552e-03  6.0090325013e-03  
 25.6000000000  -3.3026969243e-05  2.0870971233e-19  6.0221140552e-03  6.0090409314e-03  
 26.4000000000  -3.8484994657e-05  2.0325796341e-20  6.0221140552e-03  6.0090513851e-03  
 27.2000000000  -4.4638249377e-05  -7.7874506618e-19  6.0221140552e-03  6.0090642634e-03  
 28.0000000000  -5.1550342357e-05  -7.2823326561e-19  6.0221140552e-03  6.0090800303e-03  
 28.8000000000  -5.9288507047e-05  3.7732526059e-21  6.0221140552e-03  6.0090992206e-03  
 29.6000000000  -6.7923681247e-05  4.4857174339e-19  6.0221140552e-03  6.0091224477e-03  
 30.4000000000  -7.7530584740e-05  6.7662052477e-19  6.0221140552e-03  6.0091504125e-03  
