 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 0.0000000000  8.1701576334e-19  8.4723974241e-24  4.2496152608e-03  4.2012145174e-03  
 0.5000000000  -8.8459111357e-16  -6.3865860283e-21  4.2496152608e-03  4.2012145237e-03  
 1.0000000000  -2.7853718732e-14  -5.3511141027e-21  4.2496152608e-03  4.2012145299e-03  
 1.5000000000  -2.1029432822e-13  -1.1519296531e-21  4.2496152608e-03  4.2012145362e-03  
 2.0000000000  -8.8471500286e-13  1.0363381939e-20  4.2496152608e-03  4.2012145424e-03  
 2.5000000000  -2.6983120406e-12  -8.6737457221e-21  4.2496152608e-03  4.2012145487e-03  
 3.0000000000  -6.7118126014e-12  -2.6021046790e-20  4.2496152608e-03  4.2012145549e-03  
 3.5000000000  -1.4503086081e-11  -4.0107270622e-20  4.2496152608e-03  4.2012145612e-03  
 4.0000000000  -2.8270364893e-11  2.4936832206e-20  4.2496152608e-03  4.2012145674e-03  
 4.5000000000  -5.0935333803e-11  -3.4423683408e-20  4.2496152608e-03  4.2012145737e-03  
 5.0000000000  -8.6245557757e-11  1.7076316065e-20  4.2496152608e-03  4.2012145799e-03  
 5.5000000000  -1.3887820490e-10  -3.6862856804e-20  4.2496152608e-03  4.2012145861e-03  
 6.0000000000  -2.1454219680e-10  6.0714668178e-20  4.2496152608e-03  4.2012145924e-03  
 6.5000000000  -3.2008052738e-10  9.4868087139e-20  4.2496152608e-03  4.2012145986e-03  
 7.0000000000  -4.6357324345e-10  -3.7100300049e-20  4.2496152608e-03  4.2012146049e-03  
 7.5000000000  -6.5443900524e-10  4.0928614951e-20  4.2496152608e-03  4.2012146111e-03  
 8.0000000000  -9.0353700774e-10  3.6303583949e-20  4.2496152608e-03  4.2012146174e-03  
 8.5000000000  -1.2232689812e-09  -1.7347383668e-20  4.2496152608e-03  4.2012146236e-03  
 9.0000000000  -1.6276801876e-09  -3.2526329872e-20  4.2496152608e-03  4.2012146299e-03  
 9.5000000000  -2.1325609365e-09  -1.7296388018e-19  4.2496152608e-03  4.2012146361e-03  
 10.0000000000  -2.7555469424e-09  3.0391012251e-20  4.2496152608e-03  4.2012146424e-03  
 10.5000000000  -3.5162202120e-09  -1.3823551228e-19  4.2496152608e-03  4.2012146486e-03  
 11.0000000000  -4.4362092020e-09  -1.3877791322e-19  4.2496152608e-03  4.2012146549e-03  
 11.5000000000  -5.5392885299e-09  -6.9355836256e-20  4.2496152608e-03  4.2012146611e-03  
 12.0000000000  -6.8514785683e-09  1.3010450785e-19  4.2496152608e-03  4.2012146674e-03  
 12.5000000000  -8.4011445637e-09  3.0866144261e-20  4.2496152608e-03  4.2012146736e-03  
 13.0000000000  -1.0219095087e-08  5.3125625210e-20  4.2496152608e-03  4.2012146799e-03  
 13.5000000000  -1.2338681109e-08  3.4694444811e-19  4.2496152608e-03  4.2012146862e-03  
 14.0000000000  -1.4795892980e-08  -8.0976349758e-21  4.2496152608e-03  4.2012146925e-03  
 14.5000000000  -1.7629458479e-08  3.3087256309e-23  4.2496152608e-03  4.2012146988e-03  
 15.0000000000  -2.0880939768e-08  6.9389204739e-20  4.2496152608e-03  4.2012147051e-03  
 15.5000000000  -2.4594829594e-08  -1.6479813465e-19  4.2496152608e-03  4.2012147115e-03  
 16.0000000000  -2.8818647900e-08  -1.3552427927e-20  4.2496152608e-03  4.2012147179e-03  
 16.5000000000  -3.3603036621e-08  1.2583521051e-19  4.2496152608e-03  4.2012147243e-03  
 17.0000000000  -3.9001855174e-08  -1.0401538219e-19  4.2496152608e-03  4.2012147307e-03  
 17.5000000000  -4.5072275294e-08  -2.0931904556e-19  4.2496152608e-03  4.2012147372e-03  
 18.0000000000  -5.1874873848e-08  -6.5052295785e-20  4.2496152608e-03  4.2012147437e-03  
 18.5000000000  -5.9473727515e-08  -3.2966492525e-19  4.2496152608e-03  4.2012147503e-03  
 19.0000000000  -6.7936504282e-08  -4.3367822234e-20  4.2496152608e-03  4.2012147570e-03  
 19.5000000000  -7.7334556680e-08  -3.5846169663e-20  4.2496152608e-03  4.2012147638e-03  
 20.0000000000  -8.7743012723e-08  7.5894154174e-20  4.2496152608e-03  4.2012147706e-03  
 20.5000000000  -9.9240866996e-08  -1.0408287923e-19  4.2496152608e-03  4.2012147776e-03  
 21.0000000000  -1.1191107097e-07  1.7354007715e-19  4.2496152608e-03  4.2012147848e-03  
 21.5000000000  -1.2584062251e-07  -1.7448931853e-19  4.2496152608e-03  4.2012147920e-03  
 22.0000000000  -1.4112065494e-07  -1.0516737906e-19  4.2496152608e-03  4.2012147995e-03  
 22.5000000000  -1.5784652519e-07  6.8327187558e-23  4.2496152608e-03  4.2012148072e-03  
 23.0000000000  -1.7611790125e-07  -2.3310426111e-19  4.2496152608e-03  4.2012148151e-03  
 23.5000000000  -1.9603884916e-07  6.9322504027e-20  4.2496152608e-03  4.2012148233e-03  
 24.0000000000  -2.1771791919e-07  2.0708208348e-19  4.2496152608e-03  4.2012148318e-03  
 24.5000000000  -2.4126823045e-07  1.4846872909e-19  4.2496152608e-03  4.2012148406e-03  
 25.0000000000  -2.6680755662e-07  -7.8064907745e-20  4.2496152608e-03  4.2012148498e-03  
 25.5000000000  -2.9445840843e-07  6.9388905952e-20  4.2496152608e-03  4.2012148595e-03  
 26.0000000000  -3.2434811773e-07  2.5146952566e-19  4.2496152608e-03  4.2012148697e-03  
 26.5000000000  -3.5660891896e-07  -1.2251726086e-19  4.2496152608e-03  4.2012148804e-03  
 27.0000000000  -3.9137803079e-07  -4.0765915659e-19  4.2496152608e-03  4.2012148918e-03  
 27.5000000000  -4.2879773644e-07  1.8214334895e-19  4.2496152608e-03  4.2012149039e-03  
 28.0000000000  -4.6901546368e-07  9.5082763512e-22  4.2496152608e-03  4.2012149167e-03  
 28.5000000000  -5.1218386293e-07  1.4094416478e-19  4.2496152608e-03  4.2012149305e-03  
 29.0000000000  -5.5846088618e-07  -3.1225049037e-19  4.2496152608e-03  4.2012149451e-03  
 29.5000000000  -6.0800986281e-07  1.0820887280e-21  4.2496152608e-03  4.2012149609e-03  
 30.0000000000  -6.6099957661e-07  1.7238391026e-19  4.2496152608e-03  4.2012149778e-03  
 30.5000000000  -7.1760434068e-07  9.4841207388e-22  4.2496152608e-03  4.2012149961e-03  
 31.0000000000  -7.7800407142e-07  -1.0408310877e-19  4.2496152608e-03  4.2012150158e-03  
 31.5000000000  -8.4238436207e-07  3.8069068634e-19  4.2496152608e-03  4.2012150370e-03  
 32.0000000000  -9.1093655528e-07  -8.6735862960e-21  4.2496152608e-03  4.2012150600e-03  
 32.5000000000  -9.8385781404e-07  3.2530333360e-20  4.2496152608e-03  4.2012150849e-03  
 33.0000000000  -1.0613511923e-06  -4.5536468290e-19  4.2496152608e-03  4.2012151119e-03  
 33.5000000000  -1.1436257042e-06  3.2742905402e-19  4.2496152608e-03  4.2012151412e-03  
 34.0000000000  -1.2308963925e-06  2.8622513837e-19  4.2496152608e-03  4.2012151729e-03  
 34.5000000000  -1.3233843961e-06  1.1911847498e-19  4.2496152608e-03  4.2012152074e-03  
 35.0000000000  -1.4213170162e-06  4.1416095957e-19  4.2496152608e-03  4.2012152448e-03  
 35.5000000000  -1.5249277818e-06  -4.1850203858e-19  4.2496152608e-03  4.2012152855e-03  
 36.0000000000  -1.6344565132e-06  -1.2997293750e-19  4.2496152608e-03  4.2012153296e-03  
 36.5000000000  -1.7501493861e-06  6.5138176500e-21  4.2496152608e-03  4.2012153775e-03  
 37.0000000000  -1.8722589931e-06  3.2826648457e-26  4.2496152608e-03  4.2012154296e-03  
 37.5000000000  -2.0010444048e-06  -4.1417376639e-19  4.2496152608e-03  4.2012154861e-03  
 38.0000000000  -2.1367712296e-06  -3.8165597315e-19  4.2496152608e-03  4.2012155474e-03  
 38.5000000000  -2.2797116727e-06  3.4709739287e-19  4.2496152608e-03  4.2012156138e-03  
 39.0000000000  -2.4301445935e-06  2.8176551184e-19  4.2496152608e-03  4.2012156859e-03  
 39.5000000000  -2.5883555620e-06  2.2795347148e-19  4.2496152608e-03  4.2012157641e-03  
 40.0000000000  -2.7546369143e-06  5.7259423938e-19  4.2496152608e-03  4.2012158487e-03  
 40.5000000000  -2.9292878071e-06  1.3660100754e-19  4.2496152608e-03  4.2012159403e-03  
 41.0000000000  -3.1126142699e-06  -5.2050209631e-20  4.2496152608e-03  4.2012160394e-03  
 41.5000000000  -3.3049292579e-06  -1.2129515100e-19  4.2496152608e-03  4.2012161466e-03  
 42.0000000000  -3.5065527016e-06  1.3877791143e-19  4.2496152608e-03  4.2012162624e-03  
 42.5000000000  -3.7178115571e-06  6.2693993946e-19  4.2496152608e-03  4.2012163875e-03  
 43.0000000000  -3.9390398536e-06  2.7566664107e-19  4.2496152608e-03  4.2012165225e-03  
 43.5000000000  -4.1705787416e-06  3.4696160484e-19  4.2496152608e-03  4.2012166681e-03  
 44.0000000000  -4.4127765371e-06  1.5640456353e-19  4.2496152608e-03  4.2012168250e-03  
 44.5000000000  -4.6659887679e-06  8.3378513276e-24  4.2496152608e-03  4.2012169941e-03  
 45.0000000000  -4.9305782155e-06  -4.3557789399e-19  4.2496152608e-03  4.2012171760e-03  
 45.5000000000  -5.2069149579e-06  -3.4882514349e-19  4.2496152608e-03  4.2012173718e-03  
 46.0000000000  -5.4953764106e-06  -5.7274672173e-19  4.2496152608e-03  4.2012175822e-03  
 46.5000000000  -5.7963473654e-06  6.6966157907e-20  4.2496152608e-03  4.2012178082e-03  
 47.0000000000  -6.1102200297e-06  -2.1033523801e-19  4.2496152608e-03  4.2012180508e-03  
 47.5000000000  -6.4373940625e-06  1.3657560482e-19  4.2496152608e-03  4.2012183110e-03  
 48.0000000000  -6.7782766108e-06  2.7970695502e-19  4.2496152608e-03  4.2012185900e-03  
 48.5000000000  -7.1332823440e-06  -1.1926171151e-19  4.2496152608e-03  4.2012188889e-03  
 49.0000000000  -7.5028334862e-06  -2.0816680897e-19  4.2496152608e-03  4.2012192089e-03  
 49.5000000000  -7.8873598491e-06  1.6946733553e-23  4.2496152608e-03  4.2012195513e-03  
 50.0000000000  -8.2872988613e-06  6.6677893873e-20  4.2496152608e-03  4.2012199174e-03  
 50.5000000000  -8.7030955988e-06  2.1035216200e-19  4.2496152608e-03  4.2012203085e-03  
 51.0000000000  -9.1352028116e-06  4.8355364276e-19  4.2496152608e-03  4.2012207262e-03  
 51.5000000000  -9.5840809509e-06  -3.4477682218e-19  4.2496152608e-03  4.2012211720e-03  
 52.0000000000  -1.0050198194e-05  2.2334564863e-19  4.2496152608e-03  4.2012216474e-03  
 52.5000000000  -1.0534030467e-05  -3.2771757572e-19  4.2496152608e-03  4.2012221541e-03  
 53.0000000000  -1.1036061470e-05  2.8135099729e-19  4.2496152608e-03  4.2012226938e-03  
 53.5000000000  -1.1556782695e-05  -2.4246234750e-21  4.2496152608e-03  4.2012232684e-03  
 54.0000000000  -1.2096693448e-05  4.8572258258e-19  4.2496152608e-03  4.2012238797e-03  
 54.5000000000  -1.2656300865e-05  1.3660949138e-19  4.2496152608e-03  4.2012245297e-03  
 55.0000000000  -1.3236119931e-05  3.4940218314e-19  4.2496152608e-03  4.2012252204e-03  
 55.5000000000  -1.3836673495e-05  4.6622385782e-19  4.2496152608e-03  4.2012259541e-03  
 56.0000000000  -1.4458492281e-05  2.4042183194e-19  4.2496152608e-03  4.2012267328e-03  
 56.5000000000  -1.5102114908e-05  -5.3559587269e-19  4.2496152608e-03  4.2012275590e-03  
 57.0000000000  -1.5768087895e-05  2.7510147826e-19  4.2496152608e-03  4.2012284349e-03  
 57.5000000000  -1.6456965670e-05  2.7755575612e-19  4.2496152608e-03  4.2012293632e-03  
 58.0000000000  -1.7169310586e-05  1.7349352055e-20  4.2496152608e-03  4.2012303465e-03  
 58.5000000000  -1.7905692920e-05  -1.3281510215e-20  4.2496152608e-03  4.2012313873e-03  
 59.0000000000  -1.8666690885e-05  -2.3508473204e-22  4.2496152608e-03  4.2012324886e-03  
 59.5000000000  -1.9452890629e-05  -3.6889869628e-19  4.2496152608e-03  4.2012336533e-03  
 60.0000000000  -2.0264886241e-05  3.6893479599e-19  4.2496152608e-03  4.2012348843e-03  
 60.5000000000  -2.1103279753e-05  -6.2477358638e-19  4.2496152608e-03  4.2012361848e-03  
 61.0000000000  -2.1968681137e-05  5.5511263831e-19  4.2496152608e-03  4.2012375580e-03  
 61.5000000000  -2.2861708307e-05  3.4748878152e-19  4.2496152608e-03  4.2012390074e-03  
 62.0000000000  -2.3782987114e-05  -2.5969824919e-19  4.2496152608e-03  4.2012405363e-03  
 62.5000000000  -2.4733151342e-05  -1.0469128705e-19  4.2496152608e-03  4.2012421485e-03  
 63.0000000000  -2.5712842703e-05  2.5966854203e-19  4.2496152608e-03  4.2012438476e-03  
 63.5000000000  -2.6722710829e-05  5.5565361547e-19  4.2496152608e-03  4.2012456375e-03  
 64.0000000000  -2.7763413263e-05  -4.1660256720e-19  4.2496152608e-03  4.2012475222e-03  
 64.5000000000  -2.8835615452e-05  -2.0332589354e-19  4.2496152608e-03  4.2012495059e-03  
 65.0000000000  -2.9939990733e-05  -5.4210108624e-22  4.2496152608e-03  4.2012515928e-03  
 65.5000000000  -3.1077220318e-05  -3.5238624082e-20  4.2496152608e-03  4.2012537874e-03  
 66.0000000000  -3.2247993284e-05  5.7245642683e-19  4.2496152608e-03  4.2012560941e-03  
 66.5000000000  -3.3453006555e-05  2.6400124377e-19  4.2496152608e-03  4.2012585177e-03  
 67.0000000000  -3.4692964885e-05  -1.8399607023e-20  4.2496152608e-03  4.2012610631e-03  
 67.5000000000  -3.5968580840e-05  -3.2963358755e-19  4.2496152608e-03  4.2012637353e-03  
 68.0000000000  -3.7280574776e-05  4.8518272212e-19  4.2496152608e-03  4.2012665395e-03  
 68.5000000000  -3.8629674820e-05  -2.0386163988e-19  4.2496152608e-03  4.2012694809e-03  
 69.0000000000  -4.0016616845e-05  -6.1958977771e-19  4.2496152608e-03  4.2012725651e-03  
 69.5000000000  -4.1442144445e-05  -4.3389222657e-21  4.2496152608e-03  4.2012757977e-03  
 70.0000000000  -4.2907008912e-05  1.9024360383e-19  4.2496152608e-03  4.2012791847e-03  
 70.5000000000  -4.4411969207e-05  -5.3773040024e-19  4.2496152608e-03  4.2012827319e-03  
 71.0000000000  -4.5957791931e-05  8.3324550068e-19  4.2496152608e-03  4.2012864456e-03  
 71.5000000000  -4.7545251293e-05  8.8413524028e-19  4.2496152608e-03  4.2012903321e-03  
 72.0000000000  -4.9175129084e-05  -6.6728832068e-19  4.2496152608e-03  4.2012943980e-03  
 72.5000000000  -5.0848214638e-05  1.3877468888e-18  4.2496152608e-03  4.2012986501e-03  
 73.0000000000  -5.2565304799e-05  -3.5124551313e-19  4.2496152608e-03  4.2013030951e-03  
 73.5000000000  -5.4327203888e-05  1.1757835115e-18  4.2496152608e-03  4.2013077404e-03  
 74.0000000000  -5.6134723662e-05  -2.6017239402e-19  4.2496152608e-03  4.2013125931e-03  
 74.5000000000  -5.7988683278e-05  -3.5127925395e-19  4.2496152608e-03  4.2013176608e-03  
 75.0000000000  -5.9889909250e-05  3.3393652332e-19  4.2496152608e-03  4.2013229512e-03  
 75.5000000000  -6.1839235410e-05  -5.7734202824e-19  4.2496152608e-03  4.2013284722e-03  
 76.0000000000  -6.3837502864e-05  -9.0202245853e-19  4.2496152608e-03  4.2013342320e-03  
 76.5000000000  -6.5885559946e-05  -6.1225675804e-20  4.2496152608e-03  4.2013402389e-03  
 77.0000000000  -6.7984262174e-05  5.1495368032e-20  4.2496152608e-03  4.2013465014e-03  
 77.5000000000  -7.0134472204e-05  -7.9418219416e-19  4.2496152608e-03  4.2013530284e-03  
 78.0000000000  -7.2337059778e-05  3.5134926393e-20  4.2496152608e-03  4.2013598288e-03  
 78.5000000000  -7.4592901676e-05  1.3010426337e-20  4.2496152608e-03  4.2013669118e-03  
 79.0000000000  -7.6902881664e-05  6.8470766905e-19  4.2496152608e-03  4.2013742870e-03  
 79.5000000000  -7.9267890442e-05  2.8131671452e-19  4.2496152608e-03  4.2013819639e-03  
 80.0000000000  -8.1688825588e-05  5.8987810371e-19  4.2496152608e-03  4.2013899526e-03  
 80.5000000000  -8.4166591505e-05  5.7256024238e-19  4.2496152608e-03  4.2013982631e-03  
 81.0000000000  -8.6702099361e-05  1.7296848707e-19  4.2496152608e-03  4.2014069059e-03  
 81.5000000000  -8.9296267034e-05  -3.4260761327e-19  4.2496152608e-03  4.2014158915e-03  
 82.0000000000  -9.1950019050e-05  -1.0055382309e-18  4.2496152608e-03  4.2014252310e-03  
 82.5000000000  -9.4664286523e-05  1.6913554694e-19  4.2496152608e-03  4.2014349353e-03  
 83.0000000000  -9.7440007092e-05  5.5836412711e-19  4.2496152608e-03  4.2014450159e-03  
 83.5000000000  -1.0027812486e-04  5.5999057099e-19  4.2496152608e-03  4.2014554845e-03  
 84.0000000000  -1.0317959031e-04  -2.4652046069e-19  4.2496152608e-03  4.2014663529e-03  
 84.5000000000  -1.0614536029e-04  6.9388401121e-20  4.2496152608e-03  4.2014776333e-03  
 85.0000000000  -1.0917639788e-04  -6.8914865020e-20  4.2496152608e-03  4.2014893380e-03  
 85.5000000000  -1.1227367236e-04  -1.2490686653e-18  4.2496152608e-03  4.2015014799e-03  
 86.0000000000  -1.1543815915e-04  3.4693940116e-20  4.2496152608e-03  4.2015140717e-03  
 86.5000000000  -1.1867083969e-04  1.1449172377e-18  4.2496152608e-03  4.2015271269e-03  
 87.0000000000  -1.2197270143e-04  -4.5109982031e-19  4.2496152608e-03  4.2015406588e-03  
 87.5000000000  -1.2534473770e-04  8.3225672194e-19  4.2496152608e-03  4.2015546812e-03  
 88.0000000000  -1.2878794769e-04  5.5023656447e-19  4.2496152608e-03  4.2015692082e-03  
 88.5000000000  -1.3230333630e-04  -5.8546494677e-19  4.2496152608e-03  4.2015842541e-03  
 89.0000000000  -1.3589191415e-04  -6.7489666052e-23  4.2496152608e-03  4.2015998335e-03  
 89.5000000000  -1.3955469741e-04  2.7274486518e-19  4.2496152608e-03  4.2016159613e-03  
 90.0000000000  -1.4329270781e-04  -2.7369723984e-19  4.2496152608e-03  4.2016326527e-03  
 90.5000000000  -1.4710697248e-04  -4.8571410269e-19  4.2496152608e-03  4.2016499232e-03  
 91.0000000000  -1.5099852392e-04  -8.3320964252e-19  4.2496152608e-03  4.2016677885e-03  
 91.5000000000  -1.5496839987e-04  -5.6006241961e-19  4.2496152608e-03  4.2016862647e-03  
 92.0000000000  -1.5901764328e-04  9.9675139994e-20  4.2496152608e-03  4.2017053681e-03  
 92.5000000000  -1.6314730218e-04  -4.8999161933e-19  4.2496152608e-03  4.2017251154e-03  
 93.0000000000  -1.6735842961e-04  3.1170812459e-19  4.2496152608e-03  4.2017455235e-03  
 93.5000000000  -1.7165208352e-04  3.1705739409e-19  4.2496152608e-03  4.2017666096e-03  
 94.0000000000  -1.7602932671e-04  -1.0408340830e-19  4.2496152608e-03  4.2017883914e-03  
 94.5000000000  -1.8049122668e-04  -2.0769247918e-19  4.2496152608e-03  4.2018108866e-03  
 95.0000000000  -1.8503885561e-04  2.9002408114e-19  4.2496152608e-03  4.2018341134e-03  
 95.5000000000  -1.8967329021e-04  1.3877787007e-19  4.2496152608e-03  4.2018580903e-03  
 96.0000000000  -1.9439561165e-04  -2.7708591783e-19  4.2496152608e-03  4.2018828360e-03  
 96.5000000000  -1.9920690546e-04  -4.1619837394e-19  4.2496152608e-03  4.2019083695e-03  
 97.0000000000  -2.0410826143e-04  9.3736080570e-19  4.2496152608e-03  4.2019347104e-03  
 97.5000000000  -2.0910077353e-04  1.3884961117e-19  4.2496152608e-03  4.2019618781e-03  
 98.0000000000  -2.1418553979e-04  7.2262494275e-23  4.2496152608e-03  4.2019898929e-03  
 98.5000000000  -2.1936366219e-04  8.3747868031e-19  4.2496152608e-03  4.2020187748e-03  
 99.0000000000  -2.2463624659e-04  3.7730235602e-19  4.2496152608e-03  4.2020485446e-03  
 99.5000000000  -2.3000440262e-04  -4.1679950184e-19  4.2496152608e-03  4.2020792233e-03  
 100.0000000000  -2.3546924355e-04  -4.1633786940e-19  4.2496152608e-03  4.2021108319e-03  
 100.5000000000  -2.4103188623e-04  -3.8963515578e-20  4.2496152608e-03  4.2021433921e-03  
 101.0000000000  -2.4669345094e-04  -8.7603537140e-19  4.2496152608e-03  4.2021769258e-03  
 101.5000000000  -2.5245506132e-04  1.2446598506e-18  4.2496152608e-03  4.2022114551e-03  
 102.0000000000  -2.5831784422e-04  6.5926268351e-19  4.2496152608e-03  4.2022470025e-03  
 102.5000000000  -2.6428292966e-04  -5.9786947105e-19  4.2496152608e-03  4.2022835909e-03  
 103.0000000000  -2.7035145064e-04  -1.0787757849e-19  4.2496152608e-03  4.2023212432e-03  
 103.5000000000  -2.7652454310e-04  -4.4669129481e-19  4.2496152608e-03  4.2023599830e-03  
 104.0000000000  -2.8280334577e-04  -4.8619241187e-19  4.2496152608e-03  4.2023998340e-03  
