!<<<<<<< HEAD
! Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
!=======
! #Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
!>>>>>>> 8efd9dd429f521cc4ae756838755d8556a6a6f48
 0.0000000000  8.4495804826e-19  1.0422475718e-24  8.5274026101e-04  8.3236631952e-04  
 0.5000000000  -1.4032458967e-17  1.0799336620e-21  8.5274026101e-04  8.3236631957e-04  
 1.0000000000  -4.8884699095e-16  8.3009332228e-22  8.5274026101e-04  8.3236631962e-04  
 1.5000000000  -3.7610111432e-15  8.2982862447e-22  8.5274026101e-04  8.3236631967e-04  
 2.0000000000  -1.5838131485e-14  4.3199331634e-21  8.5274026101e-04  8.3236631972e-04  
 2.5000000000  -4.8281844389e-14  -1.0339600039e-27  8.5274026101e-04  8.3236631977e-04  
 3.0000000000  -1.2005981253e-13  -4.3029294400e-21  8.5274026101e-04  8.3236631982e-04  
 3.5000000000  -2.5952476034e-13  8.1315824762e-21  8.5274026101e-04  8.3236631987e-04  
 4.0000000000  -5.0600556015e-13  3.4013666820e-23  8.5274026101e-04  8.3236631992e-04  
 4.5000000000  -9.1184922699e-13  5.4887714464e-21  8.5274026101e-04  8.3236631997e-04  
 5.0000000000  -1.5440556566e-12  1.3011617194e-20  8.5274026101e-04  8.3236632002e-04  
 5.5000000000  -2.4864237077e-12  -1.0164436887e-21  8.5274026101e-04  8.3236632007e-04  
 6.0000000000  -3.8412234402e-12  5.4211432113e-21  8.5274026101e-04  8.3236632012e-04  
 6.5000000000  -5.7310656061e-12  -1.4094760591e-20  8.5274026101e-04  8.3236632017e-04  
 7.0000000000  -8.3006515931e-12  -1.0840698237e-21  8.5274026101e-04  8.3236632022e-04  
 7.5000000000  -1.1718794592e-11  7.6585013483e-21  8.5274026101e-04  8.3236632027e-04  
 8.0000000000  -1.6180110458e-11  -8.7403211920e-21  8.5274026101e-04  8.3236632032e-04  
 8.5000000000  -2.1906807307e-11  1.0546552809e-24  8.5274026101e-04  8.3236632037e-04  
 9.0000000000  -2.9150729445e-11  8.6736215159e-21  8.5274026101e-04  8.3236632042e-04  
 9.5000000000  -3.8194965105e-11  -1.7347234760e-20  8.5274026101e-04  8.3236632047e-04  
 10.0000000000  -4.9355727662e-11  8.2718061255e-27  8.5274026101e-04  8.3236632052e-04  
 10.5000000000  -6.2984113358e-11  8.6752055667e-21  8.5274026101e-04  8.3236632057e-04  
 11.0000000000  -7.9468445884e-11  1.9649046794e-20  8.5274026101e-04  8.3236632062e-04  
 11.5000000000  -9.9235179545e-11  -6.5028348907e-21  8.5274026101e-04  8.3236632067e-04  
 12.0000000000  -1.2275123159e-10  -4.1359029396e-27  8.5274026101e-04  8.3236632072e-04  
 12.5000000000  -1.5052587645e-10  2.1684043125e-21  8.5274026101e-04  8.3236632077e-04  
 13.0000000000  -1.8311243473e-10  8.5359745258e-21  8.5274026101e-04  8.3236632082e-04  
